da,delex_da,text,delex_text
"inform_only_match(food=Italian,good_for_meal=lunch,kids_allowed=no,name=BarBar)","inform_only_match(food=X-food,good_for_meal=X-good_for_meal,kids_allowed=no,name=X-name)","Omlouvám se , ale nemám tu jiný podnik než BarBar , který není vhodný pro děti , nabízí italská jídla a je dobrý na oběd .","Omlouvám se , ale nemám tu jiný podnik než X-name , který není vhodný pro děti , nabízí X-food jídla a je dobrý na X-good_for_meal ."
"inform(name='Pivo & Basilico',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Pivo & Basilico je v cenově přijatelné cenové skupině .,X-name je v X-price_range cenové skupině .
?request(area),?request(area),"Kde byste chtěla , aby restaurace byla ?","Kde byste chtěla , aby restaurace byla ?"
"inform(name='Baráčnická rychta',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Baráčnická rychta se pohybuje v normální cenové kategorii .,X-name se pohybuje v X-price_range cenové kategorii .
"inform(name=Místo,near='Old Town Square')","inform(name=X-name,near=X-near)",Místo je krásná restaurace nedaleko od Staroměstského náměstí .,X-name je krásná restaurace nedaleko od X-near .
"inform(name='Baráčnická rychta',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Restaurace Baráčnická rychta je v dražší cenové skupině .,Restaurace X-name je v X-price_range cenové skupině .
"inform(name='Švejk Restaurant',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk je cenově dostupná .,X-name je X-price_range .
?select(kids_allowed='no or yes'),?select(kids_allowed='no or yes'),"Hledáte restauraci , do které můžete vzít děti , nebo kam je naopak přístup dětem zakázán ?","Hledáte restauraci , do které můžete vzít děti , nebo kam je naopak přístup dětem zakázán ?"
"inform(count=134,good_for_meal=dinner,kids_allowed=no,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,kids_allowed=no,type=restaurant)",V nabídce je 134 restaurací vhodných pro večeře a návštěvu bez dětí .,V nabídce je X-count restaurací vhodných pro X-good_for_meal a návštěvu bez dětí .
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Café Savoy spadá do Vámi vybrané kategorie levnějších restaurací,X-name spadá do Vámi vybrané kategorie X-price_range restaurací
"inform(kids_allowed=no,name='U Tučňáků')","inform(kids_allowed=no,name=X-name)","Promiňte , restaurace U Tučňáků není vhodná pro návštěvu s dětmi .","Promiňte , restaurace X-name není vhodná pro návštěvu s dětmi ."
"inform(food=vegetarian,kids_allowed=yes,name='Švejk Restaurant')","inform(food=X-food,kids_allowed=yes,name=X-name)",Restaurace Švejk je vegetariánská restaurace vhodná pro děti .,X-name je X-food restaurace vhodná pro děti .
"inform(name='Baráčnická rychta',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Baráčnická rychta je krásná restaurace v normální cenové kategorii .,X-name je krásná restaurace v X-price_range cenové kategorii .
"inform(food=French,good_for_meal=dinner,name='Baráčnická rychta',price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",V restauraci Baráčnická rychta podávají k večeři drahá francouzská jídla .,V restauraci X-name podávají k X-good_for_meal X-price_range X-food jídla .
?request(area),?request(area),Jakou oblast hledáte ?,Jakou oblast hledáte ?
"inform(name='Café Savoy',near='Powder Tower')","inform(name=X-name,near=X-near)",Kavárna Savoy je blízko Prašné Brány .,X-name je blízko X-near .
"inform(food=Mexican,good_for_meal=dinner,name='Café Kampus',price_range=moderate)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Café Kampus patří do střední cenové kategorie , podává mexická jídla a hodí se na večeři","X-name patří do X-price_range cenové kategorie , podává X-food jídla a hodí se na X-good_for_meal"
"inform(name='Pivo & Basilico',near=Stromovka,phone=250029351,price='between 130 and 180 Kč')","inform(name=X-name,near=X-near,phone=X-phone,price=X-price)",Restaurace Pivo & Basilico blízko Stromovky má ceny od 130 do 180 Kč . Telefonní kontakt je 250029351 .,Restaurace X-name blízko X-near má ceny X-price . Telefonní kontakt je X-phone .
"inform(good_for_meal=lunch,name='Kočár z Vídně')","inform(good_for_meal=X-good_for_meal,name=X-name)","Kočár z Vídně je restaurace , kde dobře poobědváte .","X-name je restaurace , kde dobře X-good_for_meal ."
"inform(area=Hradčany,count=2,kids_allowed=no,type=restaurant)","inform(area=X-area,count=X-count,kids_allowed=no,type=restaurant)","V lokalitě Hradčan jsem našla 2 restaurace , které nedovolují vstup dětem .","V lokalitě X-area jsem našla X-count restaurace , které nedovolují vstup dětem ."
"inform(name=BarBar,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace BarBar patří do levné cenové skupiny .,Restaurace X-name patří do X-price_range cenové skupiny .
"inform(area='Staré Město',name='Švejk Restaurant',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Restaurace Švejk na Starém Městě nabízí běžné ceny .,X-name na X-area nabízí X-price_range ceny .
"inform(address='Žatecká 15',food=none,name='Baráčnická rychta')","inform(address=X-address,food=none,name=X-name)","Baráčnická rychta se nachází na Žatecké 15 , ale neznáme druhy jídel , které nabízí .","X-name se nachází na X-address , ale neznáme druhy jídel , které nabízí ."
?request(area),?request(area),V jaké oblasti budete chtít hledat ?,V jaké oblasti budete chtít hledat ?
"inform(good_for_meal=dinner,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,name=X-name)",Green Spirit se hodí na večeři,X-name se hodí na X-good_for_meal
?request(area),?request(area),V jaké oblasti se nachází vámi hledaná restaurace ?,V jaké oblasti se nachází vámi hledaná restaurace ?
"inform(name='U Konšelů',near='Wenceslas Square')","inform(name=X-name,near=X-near)",Podnik jménem U Konšelů najdete poblíž Václavského náměstí .,Podnik jménem X-name najdete poblíž X-near .
"inform(area=Dejvice,good_for_meal=dinner,kids_allowed=yes,name='Green Spirit')","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)","Green Spirit povoluje vstup s dětmi , podávají zde večeře a je také v Dejvicích .","X-name povoluje vstup s dětmi , podávají zde X-good_for_meal a je také v X-area ."
"inform(name='Green Spirit',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Ceny v Green Spirit jsou vysoké,Ceny v X-name jsou X-price_range
"inform(area=Hradčany,name='Green Spirit',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Green Spirit má prostřední ceny a je na Hradčanech .,X-name má X-price_range ceny a je na X-area .
"inform(name='U Tučňáků',near='TV Tower')","inform(name=X-name,near=X-near)",Restaurace U Tučňáků se nachází v blízkosti televizního vysílače .,Restaurace X-name se nachází v blízkosti X-near .
"inform(area='Malá Strana',good_for_meal=brunch,name='U Konšelů',price_range=moderate)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",U Konšelů připravuje brunche za průměrné ceny v oblasti Malé Strany .,X-name připravuje X-good_for_meal za X-price_range ceny v oblasti X-area .
"inform(area='Staré Město',name='Green Spirit',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Pak hledáte Green Spirit . Nachází se na Starém Městě a ceny jsou tu také střední .,Pak hledáte X-name . Nachází se na X-area a ceny jsou tu také X-price_range .
"inform(good_for_meal=dinner,name='Café Kampus',phone=245558550)","inform(good_for_meal=X-good_for_meal,name=X-name,phone=X-phone)",Telefonní číslo do restaurace Café Kampus je 245558550 . Je to dobré místo na večeři .,Telefonní číslo do restaurace X-name je X-phone . Je to dobré místo na X-good_for_meal .
?request(area),?request(area),V jaké oblasti byste se rádi najedli ?,V jaké oblasti byste se rádi najedli ?
"inform(good_for_meal=breakfast,kids_allowed=yes,name='Café Savoy',near='Charles Bridge')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near)","Café Savoy je blízko Karlova mostu , podává snídaně a hodí se pro děti","X-name je blízko X-near , podává X-good_for_meal a hodí se pro děti"
"inform(count=239,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Je tu 239 restaurací , které nabízejí různé druhy jídel .","Je tu X-count restaurací , které nabízejí různé druhy jídel ."
"inform(name='Café Savoy',near='Powder Tower')","inform(name=X-name,near=X-near)",Kavárna Savoy je poblíž Prašné brány .,X-name je poblíž X-near .
"inform(name=Místo,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Místo patří do levné cenové skupiny .,X-name patří do X-price_range cenové skupiny .
"inform(kids_allowed=no,name='U Tučňáků')","inform(kids_allowed=no,name=X-name)",U Tučňáků nejsou děti vítány .,X-name nejsou děti vítány .
?request(area),?request(area),Kterou městskou část hledáte ?,Kterou městskou část hledáte ?
"inform(kids_allowed=no,name='Café Savoy')","inform(kids_allowed=no,name=X-name)",V Café Savoy nejsou děti vítány .,V X-name nejsou děti vítány .
"inform(name='Green Spirit',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Green Spirit je cenově dostupná restaurace .,X-name je X-price_range restaurace .
"inform(good_for_meal=lunch,kids_allowed=yes,name='Café Savoy',near=Stromovka,price_range=moderate)","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Café Savoy je restaurace přesně pro vás . Je v normální cenové skupině , vhodná pro oběd i návštěvu s dětmi a nedaleko Stromovky .","X-name je restaurace přesně pro vás . Je v X-price_range cenové skupině , vhodná pro X-good_for_meal i návštěvu s dětmi a nedaleko X-near ."
"inform(good_for_meal=dinner,name=BarBar)","inform(good_for_meal=X-good_for_meal,name=X-name)",BarBar je skvělé místo pro večeři .,X-name je skvělé místo pro X-good_for_meal .
"inform(count=7,good_for_meal=dinner,near='Wenceslas Square',price_range=dont_care,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,near=X-near,price_range=dont_care,type=restaurant)","V blízkosti Václavského náměstí se nachází 7 restaurací v různých cenových kategoriích , které jsou vhodné na večeři .","V blízkosti X-near se nachází X-count restaurací v různých cenových kategoriích , které jsou vhodné na X-good_for_meal ."
"inform(address='Malostranské náměstí 2',good_for_meal=dinner,name='Kočár z Vídně',phone=261727437,price='90 Kč')","inform(address=X-address,good_for_meal=X-good_for_meal,name=X-name,phone=X-phone,price=X-price)","V Kočáře z Vídně se můžete dobře navečeřet , ceny se pohybují kolem 90 Kč . Nachází se na Malostranském náměstí 2 a telefonní číslo má 261727437 .","V X-name se můžete dobře X-good_for_meal , ceny se pohybují kolem X-price . Nachází se na X-address a telefonní číslo má X-phone ."
"inform_no_match(area=Karlín,kids_allowed=yes,price_range=moderate)","inform_no_match(area=X-area,kids_allowed=yes,price_range=X-price_range)",V areálu Karlína nejsou žádné restaurace se středními cenami vhodné pro děti .,V areálu X-area nejsou žádné restaurace se X-price_range cenami vhodné pro děti .
"inform(good_for_meal=dinner,kids_allowed=yes,name='Švejk Restaurant',near=Stromovka)","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near)","Restaurace Švejk je dobrá restaurace poblíž Stromovky , vhodná na večeři . Je zde povolen vstup s dětmi .","X-name je dobrá restaurace poblíž X-near , vhodná na X-good_for_meal . Je zde povolen vstup s dětmi ."
"inform(name=Místo,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",V restauraci Místo mají levné ceny .,V restauraci X-name mají X-price_range ceny .
"inform(good_for_meal=brunch,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)","Café Savoy je dobrá restaurace , kam zajít na pozdní snídaně .","X-name je dobrá restaurace , kam zajít na X-good_for_meal ."
"inform_no_match(area=Dejvice,kids_allowed=yes,price_range=moderate)","inform_no_match(area=X-area,kids_allowed=yes,price_range=X-price_range)","Omlouvám se , ale v Dejvicích nejsou žádné cenově dostupné restaurace , které by povolovaly děti .","Omlouvám se , ale v X-area nejsou žádné X-price_range restaurace , které by povolovaly děti ."
"inform(address='Kaprova 38',name=Ferdinanda,phone=234690518,price_range=expensive)","inform(address=X-address,name=X-name,phone=X-phone,price_range=X-price_range)","Ferdinanda Kaprova 38 , telefonní číslo je 234690518 a restaurace patří mezi drahé .","X-name X-address , telefonní číslo je X-phone a restaurace patří mezi X-price_range ."
?request(area),?request(area),V jaké oblasti restauraci hledáte ?,V jaké oblasti restauraci hledáte ?
"inform(good_for_meal=brunch,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",Kavárna Savoy se hodí na pozdní snídaně .,X-name se hodí na X-good_for_meal .
"inform(food=Italian,kids_allowed=no,name='Café Savoy')","inform(food=X-food,kids_allowed=no,name=X-name)",Kavárna Savoy servíruje italská jídla a není přístupná dětem .,X-name servíruje X-food jídla a není přístupná dětem .
"inform(food=French,kids_allowed=yes,name='U Tučňáků')","inform(food=X-food,kids_allowed=yes,name=X-name)",U Tučňáků se hodí pro děti a podává francouzské pokrmy .,X-name se hodí pro děti a podává X-food pokrmy .
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Café Savoy patří mezi restaurace v nízké cenové kategorii .,X-name patří mezi restaurace v X-price_range cenové kategorii .
"inform(area=Dejvice,name=Místo,price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Místo je středně drahá restaurace na Dejvicích .,X-name je X-price_range restaurace na X-area .
"inform(area='Staré Město',name='Baráčnická rychta',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Baráčnická rychta je levný podnik na Starém Městě .,X-name je X-price_range podnik na X-area .
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)","Café Savoy patří do levné cenové kategorie , jak jste si přála .","X-name patří do X-price_range cenové kategorie , jak jste si přála ."
?select(kids_allowed='no or yes'),?select(kids_allowed='no or yes'),"Prosím zvolte si , jestli chcete restauraci vhodnou pro děti , nebo ne .","Prosím zvolte si , jestli chcete restauraci vhodnou pro děti , nebo ne ."
"inform(name=Místo,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Místo je spíš průměrné .,X-name je spíš X-price_range .
"inform_no_match(food=French,good_for_meal=brunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)",Nepodařilo se mi najít žádnou restauraci vhodnou na brunch s francouzskou kuchyní .,Nepodařilo se mi najít žádnou restauraci vhodnou na X-good_for_meal s X-food kuchyní .
"inform(area=Nusle,count=4,good_for_meal=lunch,kids_allowed=yes,type=restaurant)","inform(area=X-area,count=X-count,good_for_meal=X-good_for_meal,kids_allowed=yes,type=restaurant)","Našla jsem 4 restaurace , kde jsou děti vítány , nachází se v Nuslích a dobře zde poobědváte .","Našla jsem X-count restaurace , kde jsou děti vítány , nachází se v X-area a dobře zde X-good_for_meal ."
"inform(name='U Konšelů',near=Stromovka)","inform(name=X-name,near=X-near)",U Konšelů se nachází v blízkosti Stromovky .,X-name se nachází v blízkosti X-near .
"inform(count=8,food=Chinese,kids_allowed=yes,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=yes,type=restaurant)",8 restaurací podává čínské jídlo a děti jsou zde vítány .,X-count restaurací podává X-food jídlo a děti jsou zde vítány .
"inform(good_for_meal=dinner,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,name=X-name)",Green Spirit se hodí na večeře,X-name se hodí na X-good_for_meal
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Švejk Restaurant patří do té levnější cenové kategorie .,X-name patří do té X-price_range cenové kategorie .
"inform(kids_allowed=no,name='Café Kampus')","inform(kids_allowed=no,name=X-name)",Café Kampus není přístupné dětem .,X-name není přístupné dětem .
"inform(name=Ferdinanda,near='Prague Castle')","inform(name=X-name,near=X-near)",Restaurace Ferdinanda se nachází blízko Pražského hradu .,Restaurace X-name se nachází blízko X-near .
"inform(food=Italian,good_for_meal=dinner,name=Ananta,price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Ananta patří do drahé cenové skupiny , je to dobré místo na večeři a podávají zde italskou kuchyni .","X-name patří do X-price_range cenové skupiny , je to dobré místo na X-good_for_meal a podávají zde X-food kuchyni ."
"inform(address='Tržiště 31',name=Ferdinanda,phone=276926551,price_range=expensive)","inform(address=X-address,name=X-name,phone=X-phone,price_range=X-price_range)",Ferdinanda je dražší restaurace na adrese Tržiště 31 a její telefonní číslo je 276926551,X-name je X-price_range restaurace na adrese X-address a její telefonní číslo je X-phone
?request(area),?request(area),V jaké lokalitě hledáte ?,V jaké lokalitě hledáte ?
?request(area),?request(area),V jaké čtvrti si přejete hledat ?,V jaké čtvrti si přejete hledat ?
"inform(area=Karlín,name='Pivo & Basilico',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Pivo & Basilico v Karlíně má také střední ceny .,X-name v X-area má také X-price_range ceny .
"inform(address='Žatecká 33',area=Vinohrady,name=BarBar,phone=284179806)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)",BarBar na Vinohradech se nachází na adrese Žatecká 33 . Telefonní číslo má 284179806 .,X-name na X-area se nachází na adrese X-address . Telefonní číslo má X-phone .
"inform(good_for_meal=dinner,name=Místo)","inform(good_for_meal=X-good_for_meal,name=X-name)",Místo je pěkná restaurace vhodná pro večeři .,X-name je pěkná restaurace vhodná pro X-good_for_meal .
"inform_no_match(food=Chinese,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Omlouvám se , ale v nabídce není žádná čínská restaurace podávající snídaně .","Omlouvám se , ale v nabídce není žádná X-food restaurace podávající X-good_for_meal ."
?request(area),?request(area),Kterou městskou část hledáte ?,Kterou městskou část hledáte ?
"inform(count=218,food=American,kids_allowed=no,price_range=cheap,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=no,price_range=X-price_range,type=restaurant)","Našla jsem 218 amerických restaurací s levnými cenami , které jsou vhodné pro děti .","Našla jsem X-count X-food restaurací s X-price_range cenami , které jsou vhodné pro děti ."
?request(area),?request(area),V jaké oblasti hledáte restauraci ?,V jaké oblasti hledáte restauraci ?
"inform(name='Kočár z Vídně',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Znám pěknou restauraci nazvanou Kočár z Vídně . Restaurace je příjemná a ceny střední .,Znám pěknou restauraci nazvanou X-name . Restaurace je příjemná a ceny X-price_range .
"inform(area=Dejvice,good_for_meal=dinner,name='U Tučňáků',price_range=moderate)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Našla jsem restauraci U Tučňáků , která se hodí na večeři , nachází se v Dejvicích a je i středně drahá .","Našla jsem restauraci X-name , která se hodí na X-good_for_meal , nachází se v X-area a je i X-price_range ."
?select(price_range='expensive or cheap'),?select(price_range=X-price_range),Hledáte dražší nebo levnější restauraci ?,Hledáte X-price_range restauraci ?
"inform(kids_allowed=no,name='U Tučňáků')","inform(kids_allowed=no,name=X-name)",U Tučňáků se nehodí pro děti .,X-name se nehodí pro děti .
"inform(address='Štefánikova 10',area=Dejvice,name='U Tučňáků',phone=279442795)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)",Restaurace U Tučňáků blízko Dejvic se nachází na ulici Štefánikova 10 . Telefonní číslo sem je 279442795 .,Restaurace X-name blízko X-area se nachází na ulici X-address . Telefonní číslo sem je X-phone .
"inform(name=Ananta,near='Petřín Tower')","inform(name=X-name,near=X-near)",Chcete zkusit Anantu kousek od Petřínské rozhledny ?,Chcete zkusit X-name kousek od X-near ?
"inform(area=Žižkov,name='Café Kampus',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Jmenuje se Café Kampus na Žižkově a je v levné cenové kategorii .,Jmenuje se X-name na X-area a je v X-price_range cenové kategorii .
"inform(area=Nusle,name='U Tučňáků',price='between 70 and 110 Kč')","inform(area=X-area,name=X-name,price=X-price)",Restaurace U Tučňáků je ve čtvrti Nusle a ceny jsou mezi 70 a 110 Kč .,Restaurace X-name je ve čtvrti X-area a ceny jsou X-price .
?request(area),?request(area),Jaká část města vás zajímá ?,Jaká část města vás zajímá ?
?request(area),?request(area),V které oblasti si přejete hledat ?,V které oblasti si přejete hledat ?
"inform(name='Café Kampus',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Café Kampus je pro Vás to pravé . Patří do střední cenové kategorie .,X-name je pro Vás to pravé . Patří do X-price_range cenové kategorie .
"inform(kids_allowed=no,name='Baráčnická rychta')","inform(kids_allowed=no,name=X-name)",Baráčnická rychta není vhodná pro návštěvu s dětmi .,X-name není vhodná pro návštěvu s dětmi .
"inform(good_for_meal=brunch,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",Café Savoy se hodí na pozdní snídaně,X-name se hodí na X-good_for_meal
"inform(name='Café Savoy',near='TV Tower')","inform(name=X-name,near=X-near)",Café Savoy se nachází blízko televizní věže .,X-name se nachází blízko X-near .
"inform(name='Café Kampus',near=Stromovka)","inform(name=X-name,near=X-near)",Café Kampus je hezká restaurace nedaleko Stromovky .,X-name je hezká restaurace nedaleko X-near .
"inform(name=Místo,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",V Místě mají přijatelné ceny .,V X-name mají X-price_range ceny .
?request(area),?request(area),Kterou část města chcete ?,Kterou část města chcete ?
"inform(area='Malá Strana',count=2,type=restaurant)","inform(area=X-area,count=X-count,type=restaurant)",Na Malé Straně se nacházejí 2 restaurace .,Na X-area se nacházejí X-count restaurace .
"inform(name=BarBar,near='TV Tower')","inform(name=X-name,near=X-near)",BarBar je nedaleko Žižkovské televizní věže .,X-name je nedaleko X-near .
?request(area),?request(area),V jaké části města byste se chtěli najíst ?,V jaké části města byste se chtěli najíst ?
?request(area),?request(area),V jaké oblasti mám restauraci hledat ?,V jaké oblasti mám restauraci hledat ?
?request(area),?request(area),V jaké oblasti si přejete hledat ?,V jaké oblasti si přejete hledat ?
"inform(good_for_meal='lunch or dinner',name=Ferdinanda)","inform(good_for_meal=X-good_for_meal,name=X-name)",Ferdinanda je známá pro své obědy a večeře .,X-name je známá pro své X-good_for_meal .
"inform(name=Ferdinanda,price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Ferdinanda patří do vyšší cenové kategorie,X-name patří do X-price_range cenové kategorie
"inform(area=Nusle,kids_allowed,name='Švejk Restaurant',price_range=cheap)","inform(area=X-area,kids_allowed,name=X-name,price_range=X-price_range)","Restaurace Švejk je levná , vhodná pro děti a nachází se v lokalitě Nusle .","X-name je X-price_range , vhodná pro děti a nachází se v lokalitě X-area ."
"inform(count=4,food=vegetarian,kids_allowed=no,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=no,type=restaurant)","Našla jsem 4 restaurace , které servírují vegetariánskou stravu a nejsou přístupné dětem .","Našla jsem X-count restaurace , které servírují X-food stravu a nejsou přístupné dětem ."
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Pokud vám nezáleží na podávané kuchyni , máte na výběr z 218 restaurací .","Pokud vám nezáleží na podávané kuchyni , máte na výběr z X-count restaurací ."
"inform(name='Švejk Restaurant',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk je v běžné cenové skupině .,X-name je v X-price_range cenové skupině .
"inform(name='Baráčnická rychta',price_range=moderate)","inform(name=X-name,price_range=X-price_range)","Ano , Baráčnická rychta má normální ceny .","Ano , X-name má X-price_range ceny ."
?request(area),?request(area),Jakou část města máte na mysli ?,Jakou část města máte na mysli ?
"inform(area='Malá Strana',good_for_meal=dinner,name='Švejk Restaurant',price_range=cheap)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Restaurace Švejk má sídlo na Malé Straně , vaří levně a je skvělá na večeři .","X-name má sídlo na X-area , vaří X-price_range a je skvělá na X-good_for_meal ."
?request(area),?request(area),A jakou oblast hledáte ?,A jakou oblast hledáte ?
"inform(count=239,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Mám tu 239 restaurací , které nabízí různé druhy kuchyní .","Mám tu X-count restaurací , které nabízí různé druhy kuchyní ."
"inform(name='Café Savoy',price_range=expensive)","inform(name=X-name,price_range=X-price_range)","Je zde dobrá restaurace jménem Café Savoy , která patří do drahé cenové skupiny .","Je zde dobrá restaurace jménem X-name , která patří do X-price_range cenové skupiny ."
"inform(good_for_meal=brunch,name=Místo)","inform(good_for_meal=X-good_for_meal,name=X-name)",Místo je příjemná restaurace vhodná k brunchi .,X-name je příjemná restaurace vhodná k X-good_for_meal .
"inform(address='Žatecká 13',area=Dejvice,name='Baráčnická rychta',phone=267790847)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)",Baráčnická rychta je v Dejvicích . Adresa je Žatecká 13 a telefonní číslo je 267790847 .,X-name je v X-area . Adresa je X-address a telefonní číslo je X-phone .
"inform(area=Karlín,name=Místo,price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Restaurace Místo má normální ceny a je v Karlíně .,Restaurace X-name má X-price_range ceny a je v X-area .
?request(area),?request(area),V jaké oblasti mám restauraci hledat ?,V jaké oblasti mám restauraci hledat ?
"inform(count=239,food=dont_care,kids_allowed=dont_care,near=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,kids_allowed=dont_care,near=dont_care,type=restaurant)","Mám tu 239 restaurací , pokud vám nezáleží na oblasti , na podávané kuchyni a na tom , jestli je povolen vstup s dětmi .","Mám tu X-count restaurací , pokud vám nezáleží na oblasti , na podávané kuchyni a na tom , jestli je povolen vstup s dětmi ."
"inform(kids_allowed=no,name='Café Savoy')","inform(kids_allowed=no,name=X-name)","Café Savoy je hezká restaurace , která není vhodná pro děti .","X-name je hezká restaurace , která není vhodná pro děti ."
"inform(name='Café Kampus',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Café Kampus je ve střední cenové relaci .,X-name je ve X-price_range cenové relaci .
"inform(food=American,kids_allowed=no,name='Green Spirit')","inform(food=X-food,kids_allowed=no,name=X-name)",Green Spirit servíruje americká jídla a není zde povolen vstup s dětmi .,X-name servíruje X-food jídla a není zde povolen vstup s dětmi .
"inform(area=Dejvice,name='Švejk Restaurant',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)","Restauraci Švejk najdete v Dejvicích , ceny jsou zde střední .","X-name najdete v X-area , ceny jsou zde X-price_range ."
"inform(name='Green Spirit',price_range=expensive)","inform(name=X-name,price_range=X-price_range)","Co říkáte na Green Spirit , je drahá ?","Co říkáte na X-name , je X-price_range ?"
"inform(name='Baráčnická rychta',near='Powder Tower')","inform(name=X-name,near=X-near)",Baráčnickou rychtu najdete poblíž Prašné brány .,X-name najdete poblíž X-near .
"inform(name=Ananta,near='Powder Tower or Old Town Square')","inform(name=X-name,near=X-near)",Ananta se nachází blízko Prašné Brány nebo Staroměstského náměstí .,X-name se nachází blízko X-near .
"inform(name='Pivo & Basilico',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Pivo & Basilico je ve střední cenové skupině .,X-name je ve X-price_range cenové skupině .
"inform_no_match(food=Italian,good_for_meal='lunch or dinner')","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nejsou tu žádné italské restaurace , které podávají oběd i večeři .","Nejsou tu žádné X-food restaurace , které podávají X-good_for_meal ."
"inform(area=Vinohrady,name='Pivo & Basilico',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Pivo & Basilico je levná restaurace v oblasti Vinohrad .,X-name je X-price_range restaurace v oblasti X-area .
"inform(food=American,good_for_meal=lunch,name='Baráčnická rychta',price_range=cheap)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Baráčnická rychta nabízí levné americké jídlo a je dobrá v době obědů .,X-name nabízí X-price_range X-food jídlo a je dobrá v době X-good_for_meal .
"inform_no_match(food=French,good_for_meal=brunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)",Na brunch se nehodí žádná restaurace s francouzskou kuchyní .,Na X-good_for_meal se nehodí žádná restaurace s X-food kuchyní .
