da,text,delex_da,delex_text
inform(name=Místo)&inform(price_range=expensive),Místo je dražší.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range .
goodbye(),Nashle.,goodbye(),nashle .
"inform(name=""Café Kampus"")&inform(price_range=expensive)&inform(kids_allowed=yes)","Café Kampus je vhodné pro děti, ale je drahé.",inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),"X-name je vhodné pro děti , ale je X-price_range ."
"inform(name=""U Tučňáků"")&inform(type=restaurant)",Doporučila bych restauraci U Tučňáků.,inform(name=X-name)&inform(type=restaurant),doporučila bych X-name .
inform(name=Místo)&inform(phone=295179377),Do Místa můžete zavolat na číslo 295179377.,inform(name=X-name)&inform(phone=X-phone),do X-name můžete zavolat na číslo X-phone .
"inform(name=""Café Savoy"")&inform(food=Italian)",Café Savoy nabízí italskou kuchyni.,inform(name=X-name)&inform(food=X-food),X-name nabízí X-food kuchyni .
goodbye(),"Na shledanou, mějte se.",goodbye(),"na shledanou , mějte se ."
?request(price_range),Jaká je cenová skupina?,?request(price_range),jaká je cenová skupina ?
?request(near),V jaké oblasti hledáte?,?request(near),v jaké oblasti hledáte ?
?request(price_range),Kolik peněz plánujete utratit?,?request(price_range),kolik peněz plánujete utratit ?
"inform(name=""Café Savoy"")&inform(price_range=expensive)",Restaurace Café Savoy je drahá,inform(name=X-name)&inform(price_range=X-price_range),restaurace X-name je X-price_range
"inform(name=""Pivo & Basilico"")&inform(type=restaurant)","Pivo & Basilico je pěkná restaurace, která vyhovuje vašim požadavkům.",inform(name=X-name)&inform(type=restaurant),"X-name je pěkná restaurace , která vyhovuje vašim požadavkům ."
inform(name=BarBar)&inform(type=restaurant),Restaurace se jmenuje BarBar,inform(name=X-name)&inform(type=restaurant),restaurace se jmenuje X-name
?request(food),Hledáte jídlo?,?request(food),hledáte jídlo ?
"?confirm(near=""Wenceslas Square"")","Mohu potvrdit, že chcete restauraci v blízkosti Václavského náměstí?",?confirm(near=X-near),"mohu potvrdit , že chcete restauraci v blízkosti X-near ?"
"inform(name=""U Tučňáků"")&inform(near=""TV Tower"")",Podnik jménem U Tučňáků najdete poblíž Žižkovské televizní věže.,inform(name=X-name)&inform(near=X-near),podnik jménem X-name najdete poblíž X-near .
"inform(area=Nusle)&inform(address=""Malostranské náměstí 1"")&inform(name=Ferdinanda)",Restaurace Ferdinanda se nachází v Nuslích na adrese Malostranské náměstí 1.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name),restaurace X-name se nachází v X-area na adrese X-address .
"inform(name=""Café Savoy"")&inform(type=restaurant)",Doporučuju restauraci jménem Café Savoy,inform(name=X-name)&inform(type=restaurant),doporučuju restauraci jménem X-name
goodbye(),Těšilo mě.,goodbye(),těšilo mě .
"inform(name=""Kočár z Vídně"")&inform(food=Chinese)",Kočár z Vídně je čínská restaurace.,inform(name=X-name)&inform(food=X-food),X-name je X-food restaurace .
"inform(address=""Štefánikova 23"")&inform(phone=228081568)&inform(name=""Green Spirit"")",Restaurace Green Spirit se nachází na ulici Štefánikova 23 a telefonní číslo je 228081568.,inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),restaurace X-name se nachází na ulici X-address a telefonní číslo je X-phone .
"inform(area=Vinohrady)&inform(name=""Pivo & Basilico"")",Restaurace Pivo & Basilico se nachází v lokalitě Vinohrad.,inform(area=X-area)&inform(name=X-name),restaurace X-name se nachází v lokalitě X-area .
goodbye(),"Děkuji Vám, mějte se krásně",goodbye(),"děkuji vám , mějte se krásně"
"inform(name=""Baráčnická rychta"")&inform(food=American)",Restaurace Baráčnická rychta nabízí americkou kuchyni.,inform(name=X-name)&inform(food=X-food),restaurace X-name nabízí X-food kuchyni .
"inform(type=restaurant)&inform(name=""Café Savoy"")",Kavárna Savoy je příjemná restaurace nacházející se v této lokalitě.,inform(type=restaurant)&inform(name=X-name),X-name je příjemná restaurace nacházející se v této lokalitě .
"inform(name=""Švejk Restaurant"")&inform(type=restaurant)",Restaurace Švejk je velmi příjemná restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je velmi příjemná restaurace .
"inform(name=""Kočár z Vídně"")&inform(address=""Malostranské náměstí 2"")&inform(phone=261727437)&inform(good_for_meal=dinner)&inform(price=""90 Kč"")","V Kočáře z Vídně se můžete dobře navečeřet, ceny se pohybují kolem 90 Kč. Nachází se na Malostranském náměstí 2 a telefonní číslo má 261727437.",inform(name=X-name)&inform(address=X-address)&inform(phone=X-phone)&inform(good_for_meal=X-good_for_meal)&inform(price=X-price),"v X-name se můžete dobře X-good_for_meal , ceny se pohybují kolem X-price . nachází se na X-address a telefonní číslo má X-phone ."
goodbye(),"Nemáte zač, na shledanou.",goodbye(),"nemáte zač , na shledanou ."
inform(name=Ananta)&inform(kids_allowed=no),V restauraci Ananta není povolen vstup s dětmi.,inform(name=X-name)&inform(kids_allowed=no),v restauraci X-name není povolen vstup s dětmi .
"?confirm(near=""Powder Tower"")","Mohu potvrdit, že hledáte restauraci blízko Prašné brány?",?confirm(near=X-near),"mohu potvrdit , že hledáte restauraci blízko X-near ?"
"inform(name=""U Tučňáků"")&inform(near=""Wenceslas Square"")&inform(kids_allowed=no)",Do restaurace U Tučňáků poblíž Václavského náměstí můžete vzít děti.,inform(name=X-name)&inform(near=X-near)&inform(kids_allowed=no),do restaurace X-name poblíž X-near můžete vzít děti .
"inform(area=Vinohrady)&inform(address=""Žatecká 33"")&inform(name=BarBar)&inform(phone=284179806)",BarBar na Vinohradech se nachází na adrese Žatecká 33. Telefonní číslo má 284179806.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),X-name na X-area se nachází na adrese X-address . telefonní číslo má X-phone .
goodbye(),Na shledanou. Omlouvám se.,goodbye(),na shledanou . omlouvám se .
"inform(name=""Švejk Restaurant"")&inform(price_range=moderate)",Švejk Restaurant je ve běžné cenové skupině.,inform(name=X-name)&inform(price_range=X-price_range),X-name je ve X-price_range cenové skupině .
"inform(name=""U Tučňáků"")&inform(good_for_meal=breakfast)&inform(price_range=cheap)",Restaurace U Tučňáků má dobré a levné snídaně.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),restaurace X-name má dobré a X-price_range X-good_for_meal .
"inform(name=""Pivo & Basilico"")&inform(address=""Újezd 8"")&inform(price=""220 Kč"")",Restaurace Pivo & Basilico se nachází na Újezdě 8 a ceny má okolo 220 Kč.,inform(name=X-name)&inform(address=X-address)&inform(price=X-price),restaurace X-name se nachází na X-address a ceny má okolo X-price .
goodbye(),Na slyšenou příště.,goodbye(),na slyšenou příště .
inform(name=Ferdinanda)&inform(price_range=expensive),Ferdinanda patří do vyšší cenové kategorie,inform(name=X-name)&inform(price_range=X-price_range),X-name patří do X-price_range cenové kategorie
"inform(name=""Pivo & Basilico"")&inform(area=""Staré Město"")&inform(good_for_meal=dinner)&inform(price_range=cheap)","Pivo & Basilico je levná restaurace na Starém Městě, ve které se můžete navečeřet.",inform(name=X-name)&inform(area=X-area)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),"X-name je X-price_range restaurace na X-area , ve které se můžete X-good_for_meal ."
"inform(name=""Café Savoy"")&inform(type=restaurant)",Restaurace se jmenuje Kavárna Savoy,inform(name=X-name)&inform(type=restaurant),restaurace se jmenuje X-name
"inform(area=""Staré Město"")&inform(name=BarBar)&inform(phone=278665910)",BarBar najdete na území Starého Města. Jeho telefon je 278665910.,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),X-name najdete na území X-area . jeho telefon je X-phone .
goodbye(),Rádo se stalo. Na shledanou.,goodbye(),rádo se stalo . na shledanou .
"inform(name=""Café Savoy"")&inform(good_for_meal=brunch)&inform(price_range=cheap)",Café Savoy nabízí levný brunch.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),X-name nabízí X-price_range X-good_for_meal .
"inform(name=Ferdinanda)&inform(address=""Malostranské náměstí 40"")",Ferdinanda najdete na Malostranském náměstí 40.,inform(name=X-name)&inform(address=X-address),X-name najdete na X-address .
"inform(name=""Café Savoy"")&inform(phone=234052895)",Telefonní číslo restaurace Café Savoy je 234052895.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo restaurace X-name je X-phone .
"inform(name=Místo)&inform(price=""150 Kč"")",Cena restaurace Místo je 150 Kč,inform(name=X-name)&inform(price=X-price),cena restaurace X-name je X-price
goodbye(),Děkuji a přeji krásný den,goodbye(),děkuji a přeji krásný den
inform(name=Ferdinanda)&inform(price_range=cheap)&inform(kids_allowed=yes),"Ferdinanda je levná restaurace, kam je povolen vstup s dětmi.",inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),"X-name je X-price_range restaurace , kam je povolen vstup s dětmi ."
inform(type=restaurant)&inform(price_range=cheap)&inform(kids_allowed=yes)&inform(count=54),"V nabídce je 54 restaurací, které jsou vhodné pro děti a jsou v levné cenové kategorii.",inform(type=restaurant)&inform(price_range=X-price_range)&inform(kids_allowed=yes)&inform(count=X-count),"v nabídce je X-count restaurací , které jsou vhodné pro děti a jsou v X-price_range cenové kategorii ."
?request(near),Prosím potvrďte svoji preferovanou oblast.,?request(near),prosím potvrďte svoji preferovanou oblast .
"inform(near=""Charles Bridge"")&inform(name=""Kočár z Vídně"")&inform(price_range=expensive)&inform(kids_allowed=yes)","Kočár z Vídně najdete poblíž Karlova mostu, můžete sem s dětmi a ceny jsou spíše vyšší.",inform(near=X-near)&inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),"X-name najdete poblíž X-near , můžete sem s dětmi a ceny jsou spíše X-price_range ."
"inform(name=""Švejk Restaurant"")&inform(address=""Újezd 4"")",Švejk Restaurant se nachází v ulici Újezd 4.,inform(name=X-name)&inform(address=X-address),X-name se nachází v ulici X-address .
"inform(name=""Café Savoy"")&inform(phone=261727437)",Telefonní číslo restaurace Café Savoy je 261727437.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo restaurace X-name je X-phone .
"inform(name=""Café Savoy"")&inform(area=Vinohrady)",Café Savoy je příjemná restaurace v oblasti Vinohrad.,inform(name=X-name)&inform(area=X-area),X-name je příjemná restaurace v oblasti X-area .
goodbye(),Není zač.,goodbye(),není zač .
"inform(name=""Kočár z Vídně"")&inform(good_for_meal=dinner)&inform(kids_allowed=yes)",Restaurace Kočár z Vídně nabízí večeře a je vhodná pro děti.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),restaurace X-name nabízí X-good_for_meal a je vhodná pro děti .
"inform(address=""Národní 38"")&inform(name=""U Tučňáků"")",Restaurace U Tučňáků se nachází na Národní 38.,inform(address=X-address)&inform(name=X-name),restaurace X-name se nachází na X-address .
"inform(name=""Kočár z Vídně"")&inform(postcode=""154 00"")",Kočár z Vídně má poštovní směrovací číslo 154 00.,inform(name=X-name)&inform(postcode=X-postcode),X-name má poštovní směrovací číslo X-postcode .
goodbye(),Na shledanou !,goodbye(),na shledanou !
"inform_no_match(area=""Staré Město"")",Neznám žádnou restauraci v oblasti Staré Město.,inform_no_match(area=X-area),neznám žádnou restauraci v oblasti X-area .
"inform_no_match(area=""Malá Strana"")",Bohužel na Malé Straně nejsou žádné restaurace.,inform_no_match(area=X-area),bohužel na X-area nejsou žádné restaurace .
inform_no_match(area=Vinohrady),Poblíž Vinohrad není žádná restaurace.,inform_no_match(area=X-area),poblíž X-area není žádná restaurace .
"inform(name=""Green Spirit"")&inform(good_for_meal=lunch)&inform(kids_allowed=yes)",Restaurace Green Spirit nabízí obědy a je vhodná pro návštěvu s dětmi.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),restaurace X-name nabízí X-good_for_meal a je vhodná pro návštěvu s dětmi .
"inform(name=""Café Kampus"")&inform(address=""Tržiště 1"")",Café Kampus se nachází na adrese Tržiště 1.,inform(name=X-name)&inform(address=X-address),X-name se nachází na adrese X-address .
goodbye(),"Na shledanou, zavolejte zas.",goodbye(),"na shledanou , zavolejte zas ."
?request(near),Mám hledat poblíž určitého místa?,?request(near),mám hledat poblíž určitého místa ?
?request(price_range),Jaká cenová kategorie je pro Vás přijatelná?,?request(price_range),jaká cenová kategorie je pro vás přijatelná ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),Našla jsem 239 restaurací v různých cenových skupinách.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),našla jsem X-count restaurací v různých cenových skupinách .
?request(food),Chcete vědět něco o nabízeném jídle?,?request(food),chcete vědět něco o nabízeném jídle ?
?confirm(price_range=dont_care),"Můžu potvrdit, že Vám na ceně nezáleží?",?confirm(price_range=dont_care),"můžu potvrdit , že vám na ceně nezáleží ?"
?request(price_range),Jak drahou restauraci hledáte?,?request(price_range),jak drahou restauraci hledáte ?
?confirm(price_range=cheap),Takže si přejete nějaké místo s levným jídlem?,?confirm(price_range=X-price_range),takže si přejete nějaké místo s X-price_range jídlem ?
?confirm(price_range=cheap),"Pro potvrzení, hledáte restauraci v levné cenové skupině?",?confirm(price_range=X-price_range),"pro potvrzení , hledáte restauraci v X-price_range cenové skupině ?"
"inform(near=""Wenceslas Square"")&inform(name=BarBar)&inform(price_range=moderate)",BarBar je poblíž Václavského náměstí a ceny tam mají střední.,inform(near=X-near)&inform(name=X-name)&inform(price_range=X-price_range),X-name je poblíž X-near a ceny tam mají X-price_range .
"inform(name=""Café Savoy"")&inform(kids_allowed=no)",V Café Savoy nejsou děti vítány.,inform(name=X-name)&inform(kids_allowed=no),X-name nejsou děti vítány .
"inform(name=""U Konšelů"")&inform(address=""Žatecká 30"")",U Konšelů je v ulici Žatecké 30.,inform(name=X-name)&inform(address=X-address),X-name je v ulici X-address .
"inform(area=""Malá Strana"")&inform(name=""Pivo & Basilico"")",Na Malé Straně se nachází Pivo & Basilico.,inform(area=X-area)&inform(name=X-name),v X-area se nachází X-name .
goodbye(),"Není za co, na shledanou.",goodbye(),"není za co , na shledanou ."
?request(food),Jaké jídlo byste rádi?,?request(food),jaké jídlo byste rádi ?
inform(name=BarBar)&inform(price_range=moderate),BarBar je cenově dostupná restaurace.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range restaurace .
inform(name=Ferdinanda)&inform(price_range=moderate)&inform(kids_allowed=yes),Ferdinanda podává pokrmy za průměrné ceny a můžete si sem vzít děti.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),X-name podává pokrmy za X-price_range ceny a můžete si sem vzít děti .
"inform(name=""Baráčnická rychta"")&inform(type=restaurant)",Jméno restaurace je Baráčnická rychta.,inform(name=X-name)&inform(type=restaurant),jméno restaurace je X-name .
"inform(name=Ferdinanda)&inform(area=""Žižkov or Vinohrady"")",Ferdinanda je na Žižkově nebo Vinohradech.,inform(name=X-name)&inform(area=X-area),X-name je na X-area .
"inform(address=""Štefánikova 24"")&inform(name=Místo)&inform(phone=232310006)","Místo se nachází ve Štefánikově 24, jejich telefon je 232310006.",inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),"X-name se nachází ve X-address , jejich telefon je X-phone ."
"inform(name=""Café Kampus"")&inform(type=restaurant)",Café Kampus je velmi dobrá restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je velmi dobrá restaurace .
inform(name=Místo)&inform(good_for_meal=lunch),V Místě podávají dobré obědy.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name podávají dobré X-good_for_meal .
goodbye(),Děkuji.,goodbye(),děkuji .
"inform(name=""Café Kampus"")&inform(near=Stromovka)&inform(kids_allowed=yes)",Café Kampus je vhodná pro děti a je blízko Stromovky.,inform(name=X-name)&inform(near=X-near)&inform(kids_allowed=yes),X-name je vhodná pro děti a je blízko X-near .
inform(type=restaurant)&inform(near=Stromovka)&inform(good_for_meal=dinner)&inform(kids_allowed=yes)&inform(count=4),"V nabídce jsou 4 restaurace blízko Stromovky, které jsou vhodné pro večeře i návštěvu s dětmi",inform(type=restaurant)&inform(near=X-near)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes)&inform(count=X-count),"v nabídce jsou X-count restaurace blízko X-near , které jsou vhodné pro X-good_for_meal i návštěvu s dětmi"
?request(food),Hledáte jídlo?,?request(food),hledáte jídlo ?
"inform(name=""Café Savoy"")&inform(type=restaurant)",Dobrá restaurace je třeba Café Savoy.,inform(name=X-name)&inform(type=restaurant),dobrá restaurace je třeba X-name .
"?confirm(near=""Powder Tower"")","Mohu se ujistit, že skutečně hledáte restauraci blízko Prašné brány?",?confirm(near=X-near),"mohu se ujistit , že skutečně hledáte restauraci blízko X-near ?"
"inform(name=""U Tučňáků"")&inform(near=""Charles Bridge"")&inform(food=Italian)&inform(good_for_meal=dinner)&inform(kids_allowed=yes)","Restaurace U Tučňáků se nachází blízko Karlova mostu. Podávají italské jídlo, vhodná je po dobu večeří i pro návštěvu s dětmi.",inform(name=X-name)&inform(near=X-near)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),"restaurace X-name se nachází blízko X-near . podávají X-food jídlo , vhodná je po dobu X-good_for_meal i pro návštěvu s dětmi ."
"inform(name=""Café Kampus"")&inform(address=""Tržiště 6"")",Café Kampus má adresu Tržiště 6.,inform(name=X-name)&inform(address=X-address),X-name má adresu X-address .
goodbye(),Tak na shledanou !,goodbye(),tak na shledanou !
inform(food=Czech)&inform(name=BarBar),BarBar je česká restaurace,inform(food=X-food)&inform(name=X-name),X-name je X-food restaurace
inform(name=Ferdinanda)&inform(food=Mexican)&inform(good_for_meal=lunch),Ferdinanda podává mexické jídlo a je dobrou volbou k poobědvání.,inform(name=X-name)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal),X-name podává X-food jídlo a je dobrou volbou k X-good_for_meal .
"inform(name=""Kočár z Vídně"")&inform(food=Asian)",Kočár z Vídně nabízí asijskou kuchyni.,inform(name=X-name)&inform(food=X-food),X-name nabízí X-food kuchyni .
"inform(name=""Švejk Restaurant"")&inform(address=""Národní 1"")",Restauraci Švejk najdete na Národní 1.,inform(name=X-name)&inform(address=X-address),X-name najdete na X-address .
inform(type=restaurant)&inform(food=Mexican)&inform(count=135),"V nabídce mám 135 restaurací, které nabízí mexické pokrmy.",inform(type=restaurant)&inform(food=X-food)&inform(count=X-count),"v nabídce mám X-count restaurace , které nabízí X-food pokrmy ."
"?select(kids_allowed=""yes or no"")","Hledáte restauraci, kam můžete s dětmi?","?select(kids_allowed=""yes or no"")","hledáte restauraci , kam můžete s dětmi ?"
goodbye(),"Na shledanou, ráda jsem pomohla.",goodbye(),"na shledanou , ráda jsem pomohla ."
?request(price_range),Jakou cenovou kategorii hledáte?,?request(price_range),jakou cenovou kategorii hledáte ?
inform(name=Místo)&inform(price_range=moderate),Místo je spíš průměrné.,inform(name=X-name)&inform(price_range=X-price_range),X-name je spíš X-price_range .
"inform_no_match(near=""Powder Tower"")&inform_no_match(price_range=moderate)",Blízko Prašné brány nejsou žádné restaurace v normální cenové kategorii.,inform_no_match(near=X-near)&inform_no_match(price_range=X-price_range),blízko X-near nejsou žádné restaurace v X-price_range cenové kategorii .
"inform(name=""U Konšelů"")&inform(type=restaurant)",Restaurace U Konšelů je velmi příjemná.,inform(name=X-name)&inform(type=restaurant),restaurace X-name je velmi příjemná .
"inform(name=BarBar)&inform(near=""Charles Bridge"")&inform(price_range=moderate)",BarBar najdete poblíž Karlova mostu a ceny má střední.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name najdete poblíž X-near a ceny má X-price_range .
"inform(area=Nusle)&inform(name=Ferdinanda)&inform(address=""Náprstkova 28"")",Ferdinanda se nachází v blízkosti Nuslí v ulici Náprstkova 28.,inform(area=X-area)&inform(name=X-name)&inform(address=X-address),X-name se nachází v blízkosti X-area v ulici X-address .
goodbye(),Děkuji za zavolání. Děkuji.,goodbye(),děkuji za zavolání . děkuji .
"inform_no_match(near=""Petřín Tower"")&inform_no_match(good_for_meal=breakfast)","V blízkosti Petřínské rozhledny nejsou žádné restaurace, které nabízí snídani.",inform_no_match(near=X-near)&inform_no_match(good_for_meal=X-good_for_meal),"v blízkosti X-near nejsou žádné restaurace , které nabízí X-good_for_meal ."
"inform(near=""Petřín Tower"")&inform(name=Místo)",Místo je krásná restaurace nedaleko od Petřínské rozhledny.,inform(near=X-near)&inform(name=X-name),X-name je krásná restaurace nedaleko od X-near .
"inform(address=""Národní 23"")&inform(name=""Café Savoy"")",Restaurace Café Savoy se nachází na Národní 23.,inform(address=X-address)&inform(name=X-name),restaurace X-name se nachází na X-address .
"inform(name=""Švejk Restaurant"")&inform(near=""Powder Tower or Old Town Square"")",Restaurace Švejk se nachází blízko Prašné Brány nebo Staroměstského náměstí.,inform(name=X-name)&inform(near=X-near),X-name se nachází blízko X-near .
goodbye(),Děkuji vám. Na shledanou.,goodbye(),děkuji vám . na shledanou .
"inform(name=""Café Savoy"")&inform(good_for_meal=brunch)&inform(kids_allowed=no)","Café Savoy je kavárna, která nabízí brunch a není vstřícná k dětem.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=no),"X-name je kavárna , která nabízí X-good_for_meal a není vstřícná k dětem ."
"inform(name=""Café Kampus"")&inform(type=restaurant)",Café Kampus je velmi příjemná restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je velmi příjemná restaurace .
"inform(area=""Staré Město"")&inform(name=""Švejk Restaurant"")",Na Starém Městě se nachází podnik jménem restaurace Švejk.,inform(area=X-area)&inform(name=X-name),v X-area se nachází podnik jménem X-name .
"inform(area=Karlín)&inform(name=""Kočár z Vídně"")",Kočár z Vídně je v oblasti Karlína.,inform(area=X-area)&inform(name=X-name),X-name je v oblasti X-area .
"inform(type=restaurant)&inform(name=""Café Kampus"")",Doporučila bych Café Kampus,inform(type=restaurant)&inform(name=X-name),doporučila bych X-name
"inform(type=restaurant)&inform(name=""Švejk Restaurant"")",Dobrá restaurace je Švejk Restaurant.,inform(type=restaurant)&inform(name=X-name),dobrá restaurace je X-name .
?request(food),Jaký druh jídla chcete?,?request(food),jaký druh jídla chcete ?
inform(type=restaurant)&inform(food=dont_care)&inform(count=229),"Pokud vám nezáleží na podávané kuchyni, máte na výběr z 229 restaurací.",inform(type=restaurant)&inform(food=dont_care)&inform(count=X-count),"pokud vám nezáleží na podávané kuchyni , máte na výběr z X-count restaurací ."
?request(price_range),Jakou cenovou skupinu hledáte?,?request(price_range),jakou cenovou skupinu hledáte ?
"inform(name=""Pivo & Basilico"")&inform(food=American)&inform(price_range=cheap)","Našla jsem americkou restauraci jménem Pivo & Basilico, která patří do levné cenové skupiny.",inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),"našla jsem X-food restauraci jménem X-name , která patří do X-price_range cenové skupiny ."
"inform(name=""Kočár z Vídně"")&inform(price_range=moderate)&inform(food=Czech)",Kočár z Vídně servíruje česká jídla za průměrné ceny.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),X-name servíruje X-food jídla za X-price_range ceny .
"inform(name=""Baráčnická rychta"")&inform(price_range=moderate)&inform(food)",Baráčnická rychta podává jídla za střední ceny.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food),X-name podává jídla za X-price_range ceny .
"inform(near=""Wenceslas Square"")&inform(price_range=moderate)&inform(name=BarBar)&inform(kids_allowed=no)","BarBar je středně drahá restaurace blízko Václavského náměstí, která není vhodná pro děti.",inform(near=X-near)&inform(price_range=X-price_range)&inform(name=X-name)&inform(kids_allowed=no),"X-name je X-price_range restaurace blízko X-near , která není vhodná pro děti ."
"inform(address=""Náprstkova 15"")&inform(name=""Kočár z Vídně"")&inform(postcode=""143 00"")","Adresa restaurace Kočár z Vídně je Náprstkova 15, poštovní směrovací číslo 143 00.",inform(address=X-address)&inform(name=X-name)&inform(postcode=X-postcode),"adresa restaurace X-name je X-address , poštovní směrovací číslo X-postcode ."
inform(name=BarBar)&inform(phone=217000617),Telefonní číslo do restaurace BarBar je 217000617.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do restaurace X-name je X-phone .
goodbye(),Na slyšenou !,goodbye(),na slyšenou !
inform_no_match(area=Dejvice),"Bohužel, v oblasti Dejvic nejsou žádné restaurace.",inform_no_match(area=X-area),"bohužel , v oblasti X-area nejsou žádné restaurace ."
inform_no_match(area=Karlín),"Je mi líto, ale v Karlíně nejsou žádné restaurace.",inform_no_match(area=X-area),"je mi líto , ale v X-area nejsou žádné restaurace ."
"?confirm(area=""Malá Strana"")","Mohu se ujistit, že chcete najít restauraci na Malé Straně?",?confirm(area=X-area),"mohu se ujistit , že chcete najít restauraci na X-area ?"
inform(area=Žižkov)&inform(name=BarBar),BarBar má sídlo na Žižkově.,inform(area=X-area)&inform(name=X-name),X-name má sídlo v X-area .
"inform(type=restaurant)&inform(name=""Café Savoy"")","Doporučila bych Café Savoy, je to příjemná restaurace.",inform(type=restaurant)&inform(name=X-name),"doporučila bych X-name , příjemná restaurace ."
inform(name=Ferdinanda)&inform(phone=288964162),Do Ferdinandy můžete zavolat na číslo 288964162.,inform(name=X-name)&inform(phone=X-phone),do X-name můžete zavolat na číslo X-phone .
goodbye(),Na shledanou,goodbye(),na shledanou
"inform(name=""Green Spirit"")&inform(food=Asian)&inform(price_range=cheap)",Green Spirit nabízí asijské jídlo a má nízké ceny.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),X-name nabízí X-food jídlo a má X-price_range ceny .
inform(name=Ferdinanda)&inform(type=restaurant),Jméno restaurace je Ferdinanda,inform(name=X-name)&inform(type=restaurant),jméno restaurace je X-name
"inform(address=""Karmelitská 21"")&inform(name=Místo)",Restaurace Místo se nachází na Karmelitské 21.,inform(address=X-address)&inform(name=X-name),restaurace X-name se nachází na X-address .
"inform(area=""Žižkov or Vinohrady"")&inform(name=""Baráčnická rychta"")",Baráčnická rychta leží na Žižkově nebo Vinohradech.,inform(area=X-area)&inform(name=X-name),X-name leží na X-area .
goodbye(),Přeji příjemný den.,goodbye(),přeji příjemný den .
?request(price_range),Mohu vám pomoci najít nějakou restauraci podle cen?,?request(price_range),mohu vám pomoci najít nějakou restauraci podle cen ?
?request(price_range),Jakou cenovou kategorii byste preferovali?,?request(price_range),jakou cenovou kategorii byste preferovali ?
?request(price_range),Jakou cenovou kategorii upřednostňujete?,?request(price_range),jakou cenovou kategorii upřednostňujete ?
?request(price_range),V jaké cenové skupině hledáte?,?request(price_range),v jaké cenové skupině hledáte ?
inform(type=restaurant)&inform(food=Czech)&inform(price_range=cheap)&inform(count=2),"Vím o dalších 2 restauracích, které nabízí levné české jídlo.",inform(type=restaurant)&inform(food=X-food)&inform(price_range=X-price_range)&inform(count=X-count),"vím o dalších X-count restauracích , které nabízí X-price_range X-food jídlo ."
?request(good_for_meal),"Hledáte snídaně, pozdní snídaně, obědy nebo večeře?",?request(good_for_meal),"hledáte snídaně , pozdní snídaně , obědy nebo večeře ?"
"inform(price_range=expensive)&inform(good_for_meal=dinner)&inform(name=""Kočár z Vídně"")&inform(food=American)",Kočár z Vídně je dobrá drahá americká restaurace s večerním menu.,inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal)&inform(name=X-name)&inform(food=X-food),X-name je dobrá X-price_range X-food restaurace s X-good_for_meal menu .
"inform(address=""Tržiště 45"")&inform(name=Místo)",Adresa Místa je Tržiště 45.,inform(address=X-address)&inform(name=X-name),adresa X-name je X-address .
"inform(area=Nusle)&inform(name=""U Konšelů"")",Restaurace U Konšelů leží v Nuslích.,inform(area=X-area)&inform(name=X-name),restaurace X-name leží na X-area .
goodbye(),Rádo se stalo. Na shledanou.,goodbye(),rádo se stalo . na shledanou .
?request(price_range),Jakou cenovou relaci preferujete?,?request(price_range),jakou cenovou relaci preferujete ?
