da,delex_da,text,delex_text
"inform(address='Národní 13',name='Baráčnická rychta',postcode='117 00')","inform(address=X-address,name=X-name,postcode=X-postcode)","Adresa Baráčnické rychty je Národní 13 , 117 00 .","Adresa X-name je X-address , X-postcode ."
"inform(area=Vinohrady,kids_allowed=yes,name='Café Savoy',price_range=moderate)","inform(area=X-area,kids_allowed=yes,name=X-name,price_range=X-price_range)","Na Vinohradech je krásná restaurace Café Savoy , která má normální ceny a je vhodná pro návštěvu s dětmi .","Na X-area je krásná restaurace X-name , která má X-price_range ceny a je vhodná pro návštěvu s dětmi ."
?request(good_for_meal),?request(good_for_meal),"Měli byste zájem o snídani , brunch , oběd nebo večeři ?","Měli byste zájem o snídani , brunch , oběd nebo večeři ?"
?reqmore(),?reqmore(),Můžu Vám ještě s něčím pomoci ?,Můžu Vám ještě s něčím pomoci ?
"inform(name=Ananta,postcode='168 00')","inform(name=X-name,postcode=X-postcode)",Poštovní směrovací číslo restaurace Ananta je 168 00 .,Poštovní směrovací číslo restaurace X-name je X-postcode .
"inform_no_match(food=American,price_range=moderate)","inform_no_match(food=X-food,price_range=X-price_range)",Nemohu najít žádné americké restaurace s průměrnými cenami .,Nemohu najít žádné X-food restaurace s X-price_range cenami .
"inform(food=German,name='Green Spirit')","inform(food=X-food,name=X-name)",V restauraci Green Spirit podávají německá jídla .,V restauraci X-name podávají X-food jídla .
"inform(address='Štefánikova 7',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Adresa restaurace Švejk je Štefánikova 7,Adresa X-name je X-address
"inform(food=Czech,name=BarBar)","inform(food=X-food,name=X-name)",BarBar je česká restaurace,X-name je X-food restaurace
"inform(address='Malostranské náměstí 50',area='Staré Město',name='Kočár z Vídně')","inform(address=X-address,area=X-area,name=X-name)","Kočár z Vídně se nachází na adrese Malostranské náměstí 50 , poblíž Starého Města .","X-name se nachází na adrese X-address , poblíž X-area ."
inform_no_match(area=Karlín),inform_no_match(area=X-area),V Karlíně nejsou žádné takové restaurace .,V X-area nejsou žádné takové restaurace .
goodbye(),goodbye(),Přeji hezký den,Přeji hezký den
"inform(kids_allowed=no,name=BarBar,near='Wenceslas Square',price_range=moderate)","inform(kids_allowed=no,name=X-name,near=X-near,price_range=X-price_range)","BarBar je středně drahá restaurace blízko Václavského náměstí , která není vhodná pro děti .","X-name je X-price_range restaurace blízko X-near , která není vhodná pro děti ."
?request(near),?request(near),V blízkosti čeho to má být ?,V blízkosti čeho to má být ?
"inform(food=American,good_for_meal=lunch,name='Café Kampus')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)",Café Kampus podává americká jídla na oběd .,X-name podává X-food jídla na X-good_for_meal .
goodbye(),goodbye(),Rádo se stalo . Na shledanou .,Rádo se stalo . Na shledanou .
"inform(area=Smíchov,name='U Konšelů')","inform(area=X-area,name=X-name)",Na Smíchově se nachází restaurace U Konšelů .,Na X-area se nachází restaurace X-name .
goodbye(),goodbye(),Není zač .,Není zač .
"inform(name='Kočár z Vídně',type=restaurant)","inform(name=X-name,type=restaurant)","Mám tu příjemnou restauraci , jmenuje se Kočár z Vídně","Mám tu příjemnou restauraci , jmenuje se X-name"
goodbye(),goodbye(),Mějte se !,Mějte se !
"inform(kids_allowed=no,name=BarBar,price_range=moderate)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)",BarBar je středně drahá restaurace a není zde povolen vstup s dětmi .,X-name je X-price_range restaurace a není zde povolen vstup s dětmi .
"inform(name=BarBar,type=restaurant)","inform(name=X-name,type=restaurant)",BarBar je rozhodně správná volba .,X-name je rozhodně správná volba .
"inform(count=51,good_for_meal=dinner,price_range=expensive,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,price_range=X-price_range,type=restaurant)","Mám tu 51 drahých restaurací , které podávají večeři .","Mám tu X-count X-price_range restaurací , které podávají X-good_for_meal ."
"inform(food=Czech,name='Green Spirit')","inform(food=X-food,name=X-name)",Green Spirit je příjemná restaurace s českou kuchyní .,X-name je příjemná restaurace s X-food kuchyní .
"inform(address='Štefánikova 28',name='Green Spirit')","inform(address=X-address,name=X-name)",Restaurace Green Spirit se nachází v ulici Štefánikova 28 .,Restaurace X-name se nachází v ulici X-address .
goodbye(),goodbye(),Na shledanou .,Na shledanou .
"inform(address='Náprstkova 14',food=Asian,name=BarBar)","inform(address=X-address,food=X-food,name=X-name)","Asijská jídla nabízí BarBar , který se nachází na adrese Náprstkova 14 .","X-food jídla nabízí X-name , který se nachází na adrese X-address ."
goodbye(),goodbye(),Děkuji .,Děkuji .
"inform(name=Místo,phone=263325604,price_range=cheap)","inform(name=X-name,phone=X-phone,price_range=X-price_range)",Restaurace Místo má nízké ceny a telefonní číslo je 263325604 .,Restaurace X-name má X-price_range ceny a telefonní číslo je X-phone .
"inform(name='Kočár z Vídně',near='TV Tower',price_range=moderate)","inform(name=X-name,near=X-near,price_range=X-price_range)",Kočár z Vídně podává jídlo s přijatelnou cenou nedaleko od televizní věže .,X-name podává jídlo s X-price_range cenou nedaleko od X-near .
"inform(area=Karlín,kids_allowed=yes,name='Café Savoy',price_range=cheap)","inform(area=X-area,kids_allowed=yes,name=X-name,price_range=X-price_range)","Café Savoy najdete ve čtvrti Karlín , jídlo je tu levné a můžete sem vzít i děti .","X-name najdete ve čtvrti X-area , jídlo je tu X-price_range a můžete sem vzít i děti ."
"inform_only_match(food=Italian,name='Pivo & Basilico')","inform_only_match(food=X-food,name=X-name)",Pouze Pivo & Basilico má v nabídce italská jídla .,Pouze X-name má v nabídce X-food jídla .
"inform(area=Hradčany,name='Švejk Restaurant')","inform(area=X-area,name=X-name)",Restauraci Švejk Restaurant najdete na Hradčanech .,X-name Restaurant najdete na X-area .
goodbye(),goodbye(),Na shledanou !,Na shledanou !
"inform(area='Malá Strana',food=Mexican,name='Kočár z Vídně',price_range=cheap)","inform(area=X-area,food=X-food,name=X-name,price_range=X-price_range)","Našla jsem Kočár z Vídně , nabízející levná mexická jídla v oblasti Malé Strany .","Našla jsem X-name , nabízející X-price_range X-food jídla v oblasti X-area ."
"inform(name='Café Savoy',postcode='168 00')","inform(name=X-name,postcode=X-postcode)",Poštovní směrovací číslo restaurace Café Savoy je 168 00 .,Poštovní směrovací číslo restaurace X-name je X-postcode .
goodbye(),goodbye(),Děkuji a přeji krásný den .,Děkuji a přeji krásný den .
"inform(area=Smíchov,name='Café Savoy')","inform(area=X-area,name=X-name)",Café Savoy se nachází na Smíchově .,X-name se nachází na X-area .
"inform(count=4,good_for_meal=dinner,near='Powder Tower',price_range=moderate,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,near=X-near,price_range=X-price_range,type=restaurant)","Našla jsem 4 restaurace ve střední cenové skupině poblíž Prašné brány , které jsou vhodné pro večeři .","Našla jsem X-count restaurace ve X-price_range cenové skupině poblíž X-near , které jsou vhodné pro X-good_for_meal ."
"inform(name='Pivo & Basilico',type=restaurant)","inform(name=X-name,type=restaurant)",Pivo & Basilico je útulná restaurace .,X-name je útulná restaurace .
"inform(name=Ananta,type=restaurant)","inform(name=X-name,type=restaurant)",Ananta je příjemná restaurace .,X-name je příjemná restaurace .
"inform(name='U Tučňáků',type=restaurant)","inform(name=X-name,type=restaurant)",Restaurace se jmenuje U Tučňáků .,Restaurace se jmenuje X-name .
goodbye(),goodbye(),"Děkuji , přeji hezký den .","Děkuji , přeji hezký den ."
"inform(area='Staré Město',count=2,price_range=cheap,type=restaurant)","inform(area=X-area,count=X-count,price_range=X-price_range,type=restaurant)",Znám 2 levné restaurace na Starém Městě .,Znám X-count X-price_range restaurace na X-area .
goodbye(),goodbye(),Dobrý den,Dobrý den
"inform(name=Místo,type=restaurant)","inform(name=X-name,type=restaurant)","Místo je příjemná restaurace , která by se vám mohla zamlouvat .","X-name je příjemná restaurace , která by se vám mohla zamlouvat ."
"inform(address='Tržiště 36',name='Kočár z Vídně')","inform(address=X-address,name=X-name)",Kočár z Vídně sídlí na Tržišti 36,X-name sídlí na X-address
goodbye(),goodbye(),Nemáte zač . Bylo mi potěšením .,Nemáte zač . Bylo mi potěšením .
goodbye(),goodbye(),Není zač .,Není zač .
goodbye(),goodbye(),Děkuji za zavolání . Na shledanou .,Děkuji za zavolání . Na shledanou .
"inform(food=Italian,name=Ferdinanda)","inform(food=X-food,name=X-name)",Ferdinanda podává italskou kuchyni .,X-name podává X-food kuchyni .
"inform(count=51,good_for_meal=dinner,price_range=expensive,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,price_range=X-price_range,type=restaurant)","Je zde 51 restaurací v drahé cenové skupině , které podávají večeře .","Je zde X-count restaurací v X-price_range cenové skupině , které podávají X-good_for_meal ."
goodbye(),goodbye(),"Na shledanou , mějte se .","Na shledanou , mějte se ."
"inform(food=Indian,good_for_meal=breakfast,name=Místo)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)",Místo podává indická jídla k snídani .,X-name podává X-food jídla k X-good_for_meal .
goodbye(),goodbye(),Zatím !,Zatím !
goodbye(),goodbye(),Nemáte zač . Bylo mi potěšením .,Nemáte zač . Bylo mi potěšením .
"inform(address='Národní 50',name=Místo)","inform(address=X-address,name=X-name)",Místo je v ulici Národní 50 .,X-name je v ulici X-address .
goodbye(),goodbye(),"Není za co , na shledanou .","Není za co , na shledanou ."
"inform(address='Tržiště 20',name='Café Savoy')","inform(address=X-address,name=X-name)",Restaurace jménem Café Savoy se nachází na adrese Tržiště 20 .,Restaurace jménem X-name se nachází na adrese X-address .
?request(good_for_meal),?request(good_for_meal),"Chcete snídaně , pozdní snídaně , obědy nebo večeře ?","Chcete snídaně , pozdní snídaně , obědy nebo večeře ?"
"inform(good_for_meal=breakfast,kids_allowed=yes,name=Ferdinanda)","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Ferdinanda podává dobré snídaně a vítá i děti .,X-name podává dobré X-good_for_meal a vítá i děti .
"inform(area=Smíchov,good_for_meal=dinner,name='U Konšelů')","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name)",U Konšelů se nachází na Smíchově a jedná se o restauraci dobrou na večeři .,X-name se nachází na X-area a jedná se o restauraci dobrou na X-good_for_meal .
goodbye(),goodbye(),"Děkuji Vám , na shledanou","Děkuji Vám , na shledanou"
"inform(food=French,name='Kočár z Vídně')","inform(food=X-food,name=X-name)","Mám tu výtečnou francouzskou restauraci , která se jmenuje Kočár z Vídně .","Mám tu výtečnou X-food restauraci , která se jmenuje X-name ."
goodbye(),goodbye(),"Děkuji Vám , mějte se krásně .","Děkuji Vám , mějte se krásně ."
"inform(count=36,food=dont_care,good_for_meal=lunch,type=restaurant)","inform(count=X-count,food=dont_care,good_for_meal=X-good_for_meal,type=restaurant)","Mám tu 36 restaurací , kde dobře poobědváte jídlo různých kuchyní .","Mám tu X-count restaurací , kde dobře X-good_for_meal jídlo různých kuchyní ."
goodbye(),goodbye(),Mějte se !,Mějte se !
"inform(name='Baráčnická rychta',type=restaurant)","inform(name=X-name,type=restaurant)",Baráčnická rychta je restaurace,X-name je restaurace
?request(price_range),?request(price_range),"Mohu se vás zeptat , o jakou cenovou kategorii máte zájem ?","Mohu se vás zeptat , o jakou cenovou kategorii máte zájem ?"
goodbye(),goodbye(),Přeji příjemný den .,Přeji příjemný den .
"inform(good_for_meal=dinner,kids_allowed=yes,name='U Konšelů')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)","U Konšelů je vynikající restaurace , která podává večeře a je velmi vhodná pro děti .","X-name je vynikající restaurace , která podává X-good_for_meal a je velmi vhodná pro děti ."
"inform_only_match(food=Mexican,kids_allowed=yes,name='Švejk Restaurant',price_range=moderate)","inform_only_match(food=X-food,kids_allowed=yes,name=X-name,price_range=X-price_range)","Kromě Švejk Restaurantu tu není žádná jiná středně drahá mexická restaurace , kam mohou děti","Kromě X-name tu není žádná jiná X-price_range X-food restaurace , kam mohou děti"
"inform(name='Café Savoy',near=Stromovka,price_range=cheap)","inform(name=X-name,near=X-near,price_range=X-price_range)",Café Savoy je levná restaurace v blízkosti Stromovky .,X-name je X-price_range restaurace v blízkosti X-near .
"inform(address='Karmelitská 4',name='Café Kampus')","inform(address=X-address,name=X-name)",Restaurace Café Kampus se nachází v ulici Karmelitská 4,Restaurace X-name se nachází v ulici X-address
"inform(address='Náprstkova 25',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Adresa restaurace Švejk Restaurant je Náprstkova 25 .,Adresa X-name Restaurant je X-address .
goodbye(),goodbye(),Dobrou chuť !,Dobrou chuť !
"inform(food=Chinese,name='Green Spirit')","inform(food=X-food,name=X-name)",Restaurace Green Spirit připravuje čínská jídla .,Restaurace X-name připravuje X-food jídla .
goodbye(),goodbye(),Těšilo mě .,Těšilo mě .
"inform(name=BarBar,type=restaurant)","inform(name=X-name,type=restaurant)",BarBar je příjemný podnik .,X-name je příjemný podnik .
"inform(address='Štefánikova 36',area=Dejvice,name='Green Spirit')","inform(address=X-address,area=X-area,name=X-name)","Adresa restaurace Green Spirit je Štefánikova 36 , nachází se v oblasti Dejvic .","Adresa restaurace X-name je X-address , nachází se v oblasti X-area ."
goodbye(),goodbye(),Není za co ! Na shledanou .,Není za co ! Na shledanou .
goodbye(),goodbye(),Na shledanou . Omlouvám se .,Na shledanou . Omlouvám se .
"inform(address='Tržiště 50',name='Café Kampus',price='between 50 and 100 Kč')","inform(address=X-address,name=X-name,price=X-price)",Café Kampus sídlí na adrese Tržiště 50 a jídlo zde seženete za 50 až 100 Kč .,X-name sídlí na adrese X-address a jídlo zde seženete za X-price .
"inform(food=Asian,good_for_meal=dinner,name='Green Spirit')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Ano , restaurace Green Spirit nabízí k večeři asijská jídla .","Ano , restaurace X-name nabízí k X-good_for_meal X-food jídla ."
"inform(good_for_meal=brunch,kids_allowed=yes,name=Místo,price_range=moderate)","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,price_range=X-price_range)",V Místě podávají cenově dostupný brunch . Je možné vzít s sebou děti .,V X-name podávají X-price_range X-good_for_meal . Je možné vzít s sebou děti .
goodbye(),goodbye(),Na slyšenou příště .,Na slyšenou příště .
"inform(food=Italian,name='U Tučňáků')","inform(food=X-food,name=X-name)",U Tučňáků je restaurace podávající italská jídla .,X-name je restaurace podávající X-food jídla .
"inform(address='Malostranské náměstí 9',name='Café Savoy')","inform(address=X-address,name=X-name)",Café Savoy má sídlo na Malostranském náměstí 9 .,X-name má sídlo na X-address .
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Chcete s sebou vzít děti ? Ano , nebo ne ?","Chcete s sebou vzít děti ? Ano , nebo ne ?"
goodbye(),goodbye(),Děkuji za zavolání . Na shledanou .,Děkuji za zavolání . Na shledanou .
goodbye(),goodbye(),Děkujeme za použití našeho dialogového systému . Hezký den .,Děkujeme za použití našeho dialogového systému . Hezký den .
"inform(area=Smíchov,good_for_meal=breakfast,kids_allowed=no,name='U Tučňáků')","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=no,name=X-name)","U Tučňáků se nachází na Smíchově a podává snídaně , ale nesmíte sem s dětmi .","X-name se nachází na X-area a podává X-good_for_meal , ale nesmíte sem s dětmi ."
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),Chtěli byste večeřet v restauraci vhodné i pro děti ?,Chtěli byste večeřet v restauraci vhodné i pro děti ?
"inform(kids_allowed=none,name=BarBar)","inform(kids_allowed=none,name=X-name)","Nevím , zdali je BarBar přístupný dětem .","Nevím , zdali je X-name přístupný dětem ."
goodbye(),goodbye(),"Na shledanou , přeji krásný den .","Na shledanou , přeji krásný den ."
"inform(food=Italian,name=Místo)","inform(food=X-food,name=X-name)",Místo podává italskou kuchyni,X-name podává X-food kuchyni
?reqmore(),?reqmore(),Mohu vám ještě nějak pomoci ?,Mohu vám ještě nějak pomoci ?
?reqmore(),?reqmore(),A můžu Vám ještě s něčím pomoci ?,A můžu Vám ještě s něčím pomoci ?
"inform(food='Czech or German',name=Ferdinanda)","inform(food=X-food,name=X-name)",Našla jsem českou nebo německou restauraci jménem Ferdinanda .,Našla jsem X-food restauraci jménem X-name .
?request(good_for_meal),?request(good_for_meal),"Hledáte restauraci , abyste si tam dali snídani , brunch , oběd , nebo večeři ?","Hledáte restauraci , abyste si tam dali snídani , brunch , oběd , nebo večeři ?"
goodbye(),goodbye(),Na shledanou .,Na shledanou .
?request(price_range),?request(price_range),Zadejte prosím cenovou kategorii,Zadejte prosím cenovou kategorii
"inform(name='Green Spirit',type=restaurant)","inform(name=X-name,type=restaurant)",Green Spirit je útulná restaurace .,X-name je útulná restaurace .
goodbye(),goodbye(),Na shledanou .,Na shledanou .
"inform(name='U Tučňáků',type=restaurant)","inform(name=X-name,type=restaurant)",Restaurace U Tučňáků je pěkná .,Restaurace X-name je pěkná .
goodbye(),goodbye(),Na slyšenou !,Na slyšenou !
?confirm(food=dont_care),?confirm(food=dont_care),"Můžete mi potvrdit , že vám nezáleží na typu jídla ?","Můžete mi potvrdit , že vám nezáleží na typu jídla ?"
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Kavárna Savoy je příjemná restaurace nacházející se v této lokalitě .,X-name je příjemná restaurace nacházející se v této lokalitě .
?reqmore(),?reqmore(),Chcete ještě nějaké informace ?,Chcete ještě nějaké informace ?
?request(price_range),?request(price_range),Jakou máte přibližně cenovou představu ?,Jakou máte přibližně cenovou představu ?
"inform(address='Národní 23',name='Café Savoy')","inform(address=X-address,name=X-name)",Restaurace Café Savoy se nachází na Národní 23 .,Restaurace X-name se nachází na X-address .
"inform_no_match(food=Italian,price_range=cheap)","inform_no_match(food=X-food,price_range=X-price_range)","Omlouvám se , nenašla jsem žádné levné italské restaurace .","Omlouvám se , nenašla jsem žádné X-price_range X-food restaurace ."
"inform(food=Mexican,name=Ananta)","inform(food=X-food,name=X-name)",V Anantě vaří mexickou kuchyni,V X-name vaří X-food kuchyni
"inform(name='U Tučňáků',type=restaurant)","inform(name=X-name,type=restaurant)",Název je U Tučňáků .,Název je X-name .
goodbye(),goodbye(),Děkuji za zavolání . Na shledanou .,Děkuji za zavolání . Na shledanou .
"inform(count=2,food=vegetarian,price_range=expensive,type=restaurant)","inform(count=X-count,food=X-food,price_range=X-price_range,type=restaurant)","V nabídce jsou 2 drahé restaurace , které podávají vegetariánská jídla .","V nabídce jsou X-count X-price_range restaurace , které podávají X-food jídla ."
?request(price_range),?request(price_range),Jakou cenovou skupinu hledáte ?,Jakou cenovou skupinu hledáte ?
"inform(kids_allowed=yes,name='Kočár z Vídně',price_range=cheap)","inform(kids_allowed=yes,name=X-name,price_range=X-price_range)",Kočár z Vídně je levná restaurace vhodná pro děti .,X-name je X-price_range restaurace vhodná pro děti .
"inform(name=Ananta,type=restaurant)","inform(name=X-name,type=restaurant)",Dobrá restaurace je třeba Ananta .,Dobrá restaurace je třeba X-name .
?request(near),?request(near),Poblíž čeho se to nachází ?,Poblíž čeho se to nachází ?
"inform(good_for_meal=lunch,kids_allowed=yes,name='U Tučňáků')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)","V restauraci U Tučňáků podávají obědy , je přístupná i pro děti .","V restauraci X-name podávají X-good_for_meal , je přístupná i pro děti ."
"inform(food=Asian,name=Místo)","inform(food=X-food,name=X-name)",Místo podává asijskou kuchyni .,X-name podává X-food kuchyni .
goodbye(),goodbye(),Na shledanou !,Na shledanou !
"inform(area='Staré Město',name=Místo,near='Petřín Tower',phone=236944504)","inform(area=X-area,name=X-name,near=X-near,phone=X-phone)",Místo je nedaleko Petřínské rozhledny a Starého Města . Jeho telefonní číslo je 236944504 .,X-name je nedaleko X-near a X-area . Jeho telefonní číslo je X-phone .
?request(good_for_meal),?request(good_for_meal),"Plánujete vyrazit na snídani , brunch , oběd nebo večeři ?","Plánujete vyrazit na snídani , brunch , oběd nebo večeři ?"
?request(good_for_meal),?request(good_for_meal),"Mohu Vám pomoci najít vhodnou restauraci pro snídani , brunch , oběd nebo večeři ?","Mohu Vám pomoci najít vhodnou restauraci pro snídani , brunch , oběd nebo večeři ?"
goodbye(),goodbye(),Na slyšenou !,Na slyšenou !
?request(price_range),?request(price_range),Jakou cenovou kategorii byste preferovali ?,Jakou cenovou kategorii byste preferovali ?
"inform(name='Švejk Restaurant',type=restaurant)","inform(name=X-name,type=restaurant)",Švejk Restaurant je restaurace,X-name je restaurace
goodbye(),goodbye(),Děkuji a přeji krásný den,Děkuji a přeji krásný den
inform_no_match(area=Smíchov),inform_no_match(area=X-area),Nenašla jsem žádné restaurace na Smíchově .,Nenašla jsem žádné restaurace na X-area .
"inform(address='Štefánikova 49',name='U Konšelů')","inform(address=X-address,name=X-name)",Adresa U Konšelů je Štefánikova 49 .,Adresa X-name je X-address .
"inform(address='Žatecká 30',name='U Konšelů')","inform(address=X-address,name=X-name)",U Konšelů je v ulici Žatecké 30 .,X-name je v ulici X-address .
"inform_only_match(good_for_meal=breakfast,name='U Konšelů')","inform_only_match(good_for_meal=X-good_for_meal,name=X-name)","Omlouvám se , ale dobře nasnídat se tu dá pouze v restauraci U Konšelů .","Omlouvám se , ale dobře X-good_for_meal se tu dá pouze v restauraci X-name ."
"inform(area=Vinohrady,food=Mexican,name='Pivo & Basilico')","inform(area=X-area,food=X-food,name=X-name)","V restauraci Pivo & Basilico , nacházející se v oblasti Vinohrad , podávají mexická jídla .","V restauraci X-name , nacházející se v oblasti X-area , podávají X-food jídla ."
"inform_no_match(food=Italian,price_range=cheap)","inform_no_match(food=X-food,price_range=X-price_range)",Nemám tu žádné levné italské restaurace .,Nemám tu žádné X-price_range X-food restaurace .
?request(good_for_meal),?request(good_for_meal),"Hledáte snídaně , obědy nebo večeře ?","Hledáte snídaně , obědy nebo večeře ?"
"inform(address='Štefánikova 23',name='Green Spirit',phone=228081568)","inform(address=X-address,name=X-name,phone=X-phone)",Restaurace Green Spirit se nachází na ulici Štefánikova 23 a telefonní číslo je 228081568 .,Restaurace X-name se nachází na ulici X-address a telefonní číslo je X-phone .
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),Děti nemají přístup povolen .,Děti nemají přístup povolen .
goodbye(),goodbye(),"Děkuji Vám , mějte se krásně","Děkuji Vám , mějte se krásně"
"inform(address='Malostranské náměstí 46',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Adresa restaurace Švejk Restaurant je Malostranské náměstí 46 .,Adresa X-name Restaurant je X-address .
goodbye(),goodbye(),"Děkuji , na shledanou .","Děkuji , na shledanou ."
"inform(area=Karlín,name='U Konšelů')","inform(area=X-area,name=X-name)",U Konšelů se nachází v lokalitě Karlín .,X-name se nachází v lokalitě X-area .
"inform(food=Indian,good_for_meal=dinner,name='Baráčnická rychta')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Baráčnická rychta je dobrá restaurace s indickou kuchyní , hlavně na večeře .","X-name je dobrá restaurace s X-food kuchyní , hlavně na X-good_for_meal ."
"inform(name='Baráčnická rychta',type=restaurant)","inform(name=X-name,type=restaurant)",Baráčnická rychta je pěkná restaurace .,X-name je pěkná restaurace .
"inform(area=Vinohrady,name='Café Kampus')","inform(area=X-area,name=X-name)",Café Kampus je příjemná restaurace na Vinohradech .,X-name je příjemná restaurace na X-area .
"inform(area=Karlín,name=BarBar)","inform(area=X-area,name=X-name)",BarBar je příjemná restaurace v Karlíně .,X-name je příjemná restaurace v X-area .
goodbye(),goodbye(),Na shledanou . Omlouvám se .,Na shledanou . Omlouvám se .
?request(price_range),?request(price_range),Preferujete nějakou cenovou kategorii ?,Preferujete nějakou cenovou kategorii ?
?request(price_range),?request(price_range),O jakou cenovou skupinu máte přibližně zájem ?,O jakou cenovou skupinu máte přibližně zájem ?
"inform(name='U Tučňáků',near='Petřín Tower',price_range=cheap)","inform(name=X-name,near=X-near,price_range=X-price_range)",Restaurace U Tučňáků patří do levné cenové kategorie a nachází se blízko Petřínské rozhledny .,Restaurace X-name patří do X-price_range cenové kategorie a nachází se blízko X-near .
"inform(area=Žižkov,name='Švejk Restaurant')","inform(area=X-area,name=X-name)",Restauraci Švejk najdete na Žižkově .,X-name najdete na X-area .
?request(price_range),?request(price_range),Kterou z cenových kategorií byste chtěla vyhledat ?,Kterou z cenových kategorií byste chtěla vyhledat ?
goodbye(),goodbye(),Na shledanou .,Na shledanou .
?reqmore(),?reqmore(),Co máte na mysli ?,Co máte na mysli ?
"inform(food=Mexican,kids_allowed=yes,name='Švejk Restaurant',price_range=cheap)","inform(food=X-food,kids_allowed=yes,name=X-name,price_range=X-price_range)","Vím o jednom dobrém místě . Jmenuje se Švejk Restaurant . Má levné ceny , podává mexickou kuchyni a je vstřícný k dětem .","Vím o jednom dobrém místě . Jmenuje se X-name . Má X-price_range ceny , podává X-food kuchyni a je vstřícný k dětem ."
?request(price_range),?request(price_range),Přejete si informace o cenách v této restauraci ?,Přejete si informace o cenách v této restauraci ?
"inform(area=Karlín,food=Mexican,name='Pivo & Basilico')","inform(area=X-area,food=X-food,name=X-name)","Našla jsem Pivo & Basilico v Karlíně , které nabízí mexické jídlo .","Našla jsem X-name v X-area , které nabízí X-food jídlo ."
"inform(address='Malostranské náměstí 42',name='Green Spirit')","inform(address=X-address,name=X-name)",Green Spirit se nachází na adrese Malostranské náměstí 42 .,X-name se nachází na adrese X-address .
goodbye(),goodbye(),Děkuji a přeji krásný den,Děkuji a přeji krásný den
"inform(address='Újezd 25',name='Švejk Restaurant',phone=222236131)","inform(address=X-address,name=X-name,phone=X-phone)",Adresa restaurace Švejk je Újezd 25 . Telefonní číslo je 222236131 .,Adresa X-name je X-address . Telefonní číslo je X-phone .
"inform(good_for_meal=dinner,name='Café Savoy',near='Charles Bridge')","inform(good_for_meal=X-good_for_meal,name=X-name,near=X-near)",Café Savoy je dobrá na večeře a je nedaleko Karlova mostu .,X-name je dobrá na X-good_for_meal a je nedaleko X-near .
"inform(count=3,good_for_meal=dinner,near='TV Tower',type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,near=X-near,type=restaurant)",Poblíž Žižkovské televizní věže jsou 3 restaurace vhodné na večeři .,Poblíž X-near jsou X-count restaurace vhodné na X-good_for_meal .
"inform(count=94,kids_allowed=yes,type=restaurant)","inform(count=X-count,kids_allowed=yes,type=restaurant)",Celkově jsem našla 94 restaurací přístupných pro děti .,Celkově jsem našla X-count restaurací přístupných pro děti .
?request(price_range),?request(price_range),Jakou cenovou relaci byste rádi ?,Jakou cenovou relaci byste rádi ?
goodbye(),goodbye(),"Nemáte zač , tak na shledanou .","Nemáte zač , tak na shledanou ."
"inform(name=BarBar,near='Wenceslas Square',price_range=cheap)","inform(name=X-name,near=X-near,price_range=X-price_range)","Samozřejmě , BarBar je levná restaurace poblíž Václavského náměstí .","Samozřejmě , X-name je X-price_range restaurace poblíž X-near ."
goodbye(),goodbye(),Není zač .,Není zač .
"inform(area=Žižkov,good_for_meal=dinner,name='U Tučňáků')","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name)","U Tučňáků je příjemná restaurace na Žižkově , kde dobře povečeříte .","X-name je příjemná restaurace na X-area , kde dobře X-good_for_meal ."
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Záleží vám na tom , zda je povolen vstup s dětmi ?","Záleží vám na tom , zda je povolen vstup s dětmi ?"
goodbye(),goodbye(),Děkuji a přeji hezký den .,Děkuji a přeji hezký den .
goodbye(),goodbye(),"Na shledanou , zavolejte zas .","Na shledanou , zavolejte zas ."
